acc_status,duration,credit_history,purpose,credit_amt,savings,employment,instalment,personal_status,debtors,residence,property,age,other_instalments,housing,number_of_credit,job,people,telephone,foreign_worker,default
no,24,critical account/other credits existing (not at this bank),repairs,5507,<100,5:7+ years,3,male: single,none,4,unknown / no property,44,none,for free,2,skilled employee/official,1,no,yes,0
<0,18,existing credits paid back duly till now,radio/television,3190,<100,"3:[1,4 years)",2,female: divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,no,yes,1
<0,48,no credits taken/all credits paid back duly,furniture/equipment,7119,<100,"3:[1,4 years)",3,male: single,none,4,unknown / no property,53,none,for free,2,skilled employee/official,2,no,yes,1
no,24,existing credits paid back duly till now,car (used),3488,"[100,500)","4:[4,7 years)",3,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",23,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",18,existing credits paid back duly till now,radio/television,1113,<100,"3:[1,4 years)",4,female: divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,no,yes,0
"[0,200)",26,existing credits paid back duly till now,car (used),7966,<100,2:<1 year,2,male: single,none,3,"if not A121/A122 : car or other, not in attribute",30,none,own,2,skilled employee/official,1,no,yes,0
no,15,critical account/other credits existing (not at this bank),education,1532,"[100,500)","3:[1,4 years)",4,female: divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute",31,none,own,1,skilled employee/official,1,no,yes,0
no,4,critical account/other credits existing (not at this bank),radio/television,1503,<100,"4:[4,7 years)",2,male: single,none,1,real estate,42,none,own,2,unskilled - resident,2,no,yes,0
<0,36,existing credits paid back duly till now,radio/television,2302,<100,"3:[1,4 years)",4,male: divorced/separated,none,4,"if not A121/A122 : car or other, not in attribute",31,none,rent,1,skilled employee/official,1,no,yes,1
<0,6,existing credits paid back duly till now,ar (new),662,<100,2:<1 year,3,male: single,none,4,real estate,41,none,own,1,unskilled - resident,2,yes,yes,0
"[0,200)",36,existing credits paid back duly till now,education,2273,<100,"4:[4,7 years)",3,male: single,none,1,"if not A121/A122 : car or other, not in attribute",32,none,own,2,skilled employee/official,2,no,yes,0
"[0,200)",15,existing credits paid back duly till now,ar (new),2631,"[100,500)","3:[1,4 years)",2,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",28,none,rent,2,skilled employee/official,1,yes,yes,1
no,12,delay in paying off in the past,car (used),1503,<100,"3:[1,4 years)",4,male: married/widowed,none,4,real estate,41,none,rent,1,skilled employee/official,1,no,yes,0
no,24,existing credits paid back duly till now,radio/television,1311,"[100,500)","4:[4,7 years)",4,male: married/widowed,none,3,if not A121 : building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,yes,yes,0
no,24,existing credits paid back duly till now,radio/television,3105,unknown/no savings account,2:<1 year,4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",25,none,own,2,skilled employee/official,1,no,yes,0
200+,21,critical account/other credits existing (not at this bank),education,2319,<100,2:<1 year,2,male: divorced/separated,none,1,"if not A121/A122 : car or other, not in attribute",33,none,rent,1,skilled employee/official,1,no,yes,1
<0,6,existing credits paid back duly till now,ar (new),1374,unknown/no savings account,1:unemployed,4,female: divorced/separated/married,none,3,if not A121 : building society savings agreement/life insurance,75,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
"[0,200)",18,critical account/other credits existing (not at this bank),furniture/equipment,3612,<100,5:7+ years,3,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,37,none,own,1,skilled employee/official,1,yes,yes,0
<0,48,existing credits paid back duly till now,ar (new),7763,<100,5:7+ years,4,male: single,none,4,unknown / no property,42,bank,for free,1,management/self-employed/highly qualified employee/officer,1,no,yes,1
200+,18,existing credits paid back duly till now,furniture/equipment,3049,<100,2:<1 year,1,female: divorced/separated/married,none,1,if not A121 : building society savings agreement/life insurance,45,stores,own,1,unskilled - resident,1,no,yes,0
"[0,200)",12,existing credits paid back duly till now,radio/television,1534,<100,2:<1 year,1,male: married/widowed,none,1,real estate,23,none,rent,1,skilled employee/official,1,no,yes,1
no,24,delay in paying off in the past,ar (new),2032,<100,5:7+ years,4,male: single,none,4,unknown / no property,60,none,for free,2,skilled employee/official,1,yes,yes,0
<0,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/no savings account,5:7+ years,4,male: single,none,4,if not A121 : building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,no,yes,1
200+,18,existing credits paid back duly till now,furniture/equipment,2864,<100,"3:[1,4 years)",2,male: single,none,1,real estate,34,none,own,1,unskilled - resident,2,no,yes,1
no,12,critical account/other credits existing (not at this bank),ar (new),1255,<100,5:7+ years,4,male: single,none,4,real estate,61,none,own,2,unskilled - resident,1,no,yes,0
<0,24,delay in paying off in the past,ar (new),1333,<100,1:unemployed,4,male: single,none,2,real estate,43,none,for free,2,skilled employee/official,2,no,yes,1
no,24,critical account/other credits existing (not at this bank),ar (new),2022,<100,"3:[1,4 years)",4,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",37,none,own,1,skilled employee/official,1,yes,yes,0
no,24,existing credits paid back duly till now,radio/television,1552,<100,"4:[4,7 years)",3,male: single,none,1,"if not A121/A122 : car or other, not in attribute",32,bank,own,1,skilled employee/official,2,no,yes,0
<0,12,all credits at this bank paid back duly,radio/television,626,<100,"3:[1,4 years)",4,female: divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,no,yes,1
no,48,critical account/other credits existing (not at this bank),car (used),8858,unknown/no savings account,"4:[4,7 years)",2,male: single,none,1,unknown / no property,35,none,for free,2,skilled employee/official,1,yes,yes,0
no,12,critical account/other credits existing (not at this bank),repairs,996,unknown/no savings account,"4:[4,7 years)",4,female: divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee/official,1,no,yes,0
no,6,all credits at this bank paid back duly,radio/television,1750,"[500,1000)",5:7+ years,2,male: single,none,4,if not A121 : building society savings agreement/life insurance,45,bank,own,1,unskilled - resident,2,no,yes,0
<0,48,existing credits paid back duly till now,radio/television,6999,<100,"4:[4,7 years)",1,male: married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee/official,1,yes,yes,1
"[0,200)",12,critical account/other credits existing (not at this bank),ar (new),1995,"[100,500)",2:<1 year,4,male: single,none,1,"if not A121/A122 : car or other, not in attribute",27,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",9,existing credits paid back duly till now,education,1199,<100,"4:[4,7 years)",4,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,67,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
"[0,200)",12,existing credits paid back duly till now,radio/television,1331,<100,2:<1 year,2,male: single,none,1,"if not A121/A122 : car or other, not in attribute",22,stores,own,1,skilled employee/official,1,no,yes,1
"[0,200)",18,no credits taken/all credits paid back duly,ar (new),2278,"[100,500)",2:<1 year,3,female: divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute",28,none,own,2,skilled employee/official,1,no,yes,1
no,21,no credits taken/all credits paid back duly,ar (new),5003,unknown/no savings account,"3:[1,4 years)",1,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,29,bank,own,2,skilled employee/official,1,yes,yes,1
<0,24,all credits at this bank paid back duly,furniture/equipment,3552,<100,"4:[4,7 years)",3,male: single,none,4,"if not A121/A122 : car or other, not in attribute",27,bank,own,1,skilled employee/official,1,no,yes,1
"[0,200)",18,critical account/other credits existing (not at this bank),furniture/equipment,1928,<100,2:<1 year,2,male: single,none,2,real estate,31,none,own,2,unskilled - resident,1,no,yes,1
<0,24,existing credits paid back duly till now,car (used),2964,unknown/no savings account,5:7+ years,4,male: single,none,4,unknown / no property,49,bank,for free,1,skilled employee/official,2,yes,yes,0
<0,24,all credits at this bank paid back duly,radio/television,1546,<100,"4:[4,7 years)",4,male: single,guarantor,4,"if not A121/A122 : car or other, not in attribute",24,bank,rent,1,unskilled - resident,1,no,yes,1
200+,6,delay in paying off in the past,radio/television,683,<100,2:<1 year,2,female: divorced/separated/married,none,1,if not A121 : building society savings agreement/life insurance,29,bank,own,1,skilled employee/official,1,no,yes,0
"[0,200)",36,existing credits paid back duly till now,ar (new),12389,unknown/no savings account,"3:[1,4 years)",1,male: single,none,4,unknown / no property,37,none,for free,1,skilled employee/official,1,yes,yes,1
"[0,200)",24,delay in paying off in the past,business,4712,unknown/no savings account,"3:[1,4 years)",4,male: single,none,2,if not A121 : building society savings agreement/life insurance,37,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
"[0,200)",24,delay in paying off in the past,radio/television,1553,"[100,500)","4:[4,7 years)",3,female: divorced/separated/married,none,2,if not A121 : building society savings agreement/life insurance,23,none,rent,2,skilled employee/official,1,yes,yes,0
<0,12,existing credits paid back duly till now,ar (new),1372,<100,"4:[4,7 years)",2,male: divorced/separated,none,3,"if not A121/A122 : car or other, not in attribute",36,none,own,1,skilled employee/official,1,no,yes,1
no,24,critical account/other credits existing (not at this bank),radio/television,2578,1000+,5:7+ years,2,male: single,none,2,"if not A121/A122 : car or other, not in attribute",34,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",48,existing credits paid back duly till now,radio/television,3979,unknown/no savings account,"4:[4,7 years)",4,male: single,none,1,"if not A121/A122 : car or other, not in attribute",41,none,own,2,skilled employee/official,2,yes,yes,0
<0,48,existing credits paid back duly till now,radio/television,6758,<100,"3:[1,4 years)",3,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",31,none,own,1,skilled employee/official,1,yes,yes,1
<0,24,existing credits paid back duly till now,furniture/equipment,3234,<100,2:<1 year,4,female: divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,yes,yes,1
no,30,critical account/other credits existing (not at this bank),radio/television,5954,<100,"4:[4,7 years)",3,male: single,co-applicant,2,"if not A121/A122 : car or other, not in attribute",38,none,own,1,skilled employee/official,1,no,yes,0
no,24,existing credits paid back duly till now,car (used),5433,unknown/no savings account,1:unemployed,2,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,26,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
<0,15,existing credits paid back duly till now,business,806,<100,"3:[1,4 years)",4,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,22,none,own,1,unskilled - resident,1,no,yes,0
"[0,200)",9,existing credits paid back duly till now,radio/television,1082,<100,5:7+ years,4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",27,none,own,2,unskilled - resident,1,no,yes,0
no,15,critical account/other credits existing (not at this bank),furniture/equipment,2788,<100,"4:[4,7 years)",2,female: divorced/separated/married,co-applicant,3,"if not A121/A122 : car or other, not in attribute",24,bank,own,2,skilled employee/official,1,no,yes,0
"[0,200)",12,existing credits paid back duly till now,radio/television,2930,<100,"4:[4,7 years)",2,female: divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee/official,1,no,yes,0
no,24,critical account/other credits existing (not at this bank),education,1927,unknown/no savings account,"3:[1,4 years)",3,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",33,none,own,2,skilled employee/official,1,yes,yes,0
"[0,200)",36,critical account/other credits existing (not at this bank),ar (new),2820,<100,2:<1 year,4,male: divorced/separated,none,4,"if not A121/A122 : car or other, not in attribute",27,none,own,2,skilled employee/official,1,no,yes,1
no,24,existing credits paid back duly till now,retraining,937,<100,2:<1 year,4,male: married/widowed,none,3,"if not A121/A122 : car or other, not in attribute",27,none,own,2,unskilled - resident,1,no,yes,0
"[0,200)",18,critical account/other credits existing (not at this bank),ar (new),1056,<100,5:7+ years,3,male: single,guarantor,3,real estate,30,bank,own,2,skilled employee/official,1,no,yes,1
"[0,200)",12,critical account/other credits existing (not at this bank),ar (new),3124,<100,2:<1 year,1,male: single,none,3,real estate,49,bank,own,2,unskilled - resident,2,no,yes,0
no,9,existing credits paid back duly till now,furniture/equipment,1388,<100,"3:[1,4 years)",4,female: divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee/official,1,no,yes,0
"[0,200)",36,existing credits paid back duly till now,repairs,2384,<100,2:<1 year,4,male: single,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,no,yes,1
no,12,existing credits paid back duly till now,ar (new),2133,unknown/no savings account,5:7+ years,4,female: divorced/separated/married,none,4,unknown / no property,52,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
<0,18,existing credits paid back duly till now,furniture/equipment,2039,<100,"3:[1,4 years)",1,female: divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee/official,1,no,yes,1
<0,9,critical account/other credits existing (not at this bank),ar (new),2799,<100,"3:[1,4 years)",2,male: single,none,2,real estate,36,none,rent,2,skilled employee/official,2,no,yes,0
<0,12,existing credits paid back duly till now,furniture/equipment,1289,<100,"3:[1,4 years)",4,male: single,guarantor,1,if not A121 : building society savings agreement/life insurance,21,none,own,1,unskilled - resident,1,no,yes,0
<0,18,existing credits paid back duly till now,domestic appliances,1217,<100,"3:[1,4 years)",4,male: married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,yes,yes,1
<0,12,critical account/other credits existing (not at this bank),furniture/equipment,2246,<100,5:7+ years,3,male: single,none,3,if not A121 : building society savings agreement/life insurance,60,none,own,2,skilled employee/official,1,no,yes,1
<0,12,critical account/other credits existing (not at this bank),radio/television,385,<100,"4:[4,7 years)",4,female: divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,yes,yes,0
"[0,200)",24,delay in paying off in the past,ar (new),1965,unknown/no savings account,"3:[1,4 years)",4,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",42,none,rent,2,skilled employee/official,1,yes,yes,0
no,21,existing credits paid back duly till now,business,1572,1000+,5:7+ years,4,female: divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1,no,yes,0
"[0,200)",24,existing credits paid back duly till now,ar (new),2718,<100,"3:[1,4 years)",3,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,20,none,rent,1,unskilled - resident,1,yes,yes,1
<0,24,all credits at this bank paid back duly,others,1358,unknown/no savings account,5:7+ years,4,male: single,none,3,"if not A121/A122 : car or other, not in attribute",40,stores,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
"[0,200)",6,all credits at this bank paid back duly,ar (new),931,"[100,500)",2:<1 year,1,female: divorced/separated/married,none,1,if not A121 : building society savings agreement/life insurance,32,stores,own,1,unskilled - resident,1,no,yes,1
<0,24,existing credits paid back duly till now,ar (new),1442,<100,"4:[4,7 years)",4,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",23,none,rent,2,skilled employee/official,1,no,yes,1
"[0,200)",24,no credits taken/all credits paid back duly,business,4241,<100,"3:[1,4 years)",1,male: single,none,4,real estate,36,none,own,3,unskilled - resident,1,yes,yes,1
no,18,critical account/other credits existing (not at this bank),ar (new),2775,<100,"4:[4,7 years)",2,male: single,none,2,if not A121 : building society savings agreement/life insurance,31,bank,own,2,skilled employee/official,1,no,yes,1
no,24,delay in paying off in the past,business,3863,<100,"3:[1,4 years)",1,male: single,none,2,unknown / no property,32,none,for free,1,skilled employee/official,1,no,yes,0
"[0,200)",7,existing credits paid back duly till now,radio/television,2329,<100,2:<1 year,1,female: divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",9,existing credits paid back duly till now,furniture/equipment,918,<100,"3:[1,4 years)",4,female: divorced/separated/married,none,1,if not A121 : building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,no,yes,1
"[0,200)",24,all credits at this bank paid back duly,education,1837,<100,"4:[4,7 years)",4,female: divorced/separated/married,none,4,unknown / no property,34,bank,for free,1,unskilled - resident,1,no,yes,1
no,36,existing credits paid back duly till now,furniture/equipment,3349,<100,"3:[1,4 years)",4,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",28,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
200+,10,existing credits paid back duly till now,furniture/equipment,1275,<100,2:<1 year,4,female: divorced/separated/married,none,2,if not A121 : building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,no,yes,0
<0,24,all credits at this bank paid back duly,furniture/equipment,2828,"[500,1000)","3:[1,4 years)",4,male: single,none,4,real estate,22,stores,own,1,skilled employee/official,1,yes,yes,0
no,24,critical account/other credits existing (not at this bank),business,4526,<100,"3:[1,4 years)",3,male: single,none,2,real estate,74,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
"[0,200)",36,existing credits paid back duly till now,radio/television,2671,"[100,500)","3:[1,4 years)",4,female: divorced/separated/married,co-applicant,4,unknown / no property,50,none,for free,1,skilled employee/official,1,no,yes,1
no,18,existing credits paid back duly till now,radio/television,2051,<100,2:<1 year,4,male: single,none,1,real estate,33,none,own,1,skilled employee/official,1,no,yes,0
no,15,existing credits paid back duly till now,car (used),1300,unknown/no savings account,5:7+ years,4,male: single,none,4,unknown / no property,45,bank,for free,1,skilled employee/official,2,no,yes,0
<0,12,existing credits paid back duly till now,domestic appliances,741,"[100,500)",1:unemployed,4,female: divorced/separated/married,none,3,if not A121 : building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,no,yes,1
200+,10,existing credits paid back duly till now,ar (new),1240,"[100,500)",5:7+ years,1,female: divorced/separated/married,none,4,unknown / no property,48,none,for free,1,unskilled - resident,2,no,yes,1
<0,21,existing credits paid back duly till now,radio/television,3357,1000+,2:<1 year,4,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",29,bank,own,1,skilled employee/official,1,no,yes,0
<0,24,all credits at this bank paid back duly,car (used),3632,<100,"3:[1,4 years)",1,female: divorced/separated/married,guarantor,4,"if not A121/A122 : car or other, not in attribute",22,bank,rent,1,skilled employee/official,1,no,no,0
no,18,delay in paying off in the past,furniture/equipment,1808,<100,"4:[4,7 years)",4,female: divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee/official,1,no,yes,1
"[0,200)",48,no credits taken/all credits paid back duly,business,12204,unknown/no savings account,"3:[1,4 years)",2,male: single,none,2,"if not A121/A122 : car or other, not in attribute",48,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
"[0,200)",60,delay in paying off in the past,radio/television,9157,unknown/no savings account,"3:[1,4 years)",2,male: single,none,2,unknown / no property,27,none,for free,1,management/self-employed/highly qualified employee/officer,1,no,yes,0
<0,6,critical account/other credits existing (not at this bank),ar (new),3676,<100,"3:[1,4 years)",1,male: single,none,3,real estate,37,none,rent,3,skilled employee/official,2,no,yes,0
"[0,200)",30,existing credits paid back duly till now,furniture/equipment,3441,"[100,500)","3:[1,4 years)",2,female: divorced/separated/married,co-applicant,4,"if not A121/A122 : car or other, not in attribute",21,none,rent,1,skilled employee/official,1,no,yes,1
no,12,existing credits paid back duly till now,ar (new),640,<100,"3:[1,4 years)",4,male: divorced/separated,none,2,real estate,49,none,own,1,unskilled - resident,1,no,yes,0
"[0,200)",21,critical account/other credits existing (not at this bank),business,3652,<100,"4:[4,7 years)",2,male: single,none,3,if not A121 : building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,no,yes,0
no,18,critical account/other credits existing (not at this bank),ar (new),1530,<100,"3:[1,4 years)",3,male: single,none,2,if not A121 : building society savings agreement/life insurance,32,bank,own,2,skilled employee/official,1,no,yes,1
no,48,existing credits paid back duly till now,business,3914,unknown/no savings account,"3:[1,4 years)",4,male: divorced/separated,none,2,real estate,38,bank,own,1,skilled employee/official,1,no,yes,1
<0,12,existing credits paid back duly till now,furniture/equipment,1858,<100,2:<1 year,4,female: divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute",22,none,rent,1,skilled employee/official,1,no,yes,0
<0,18,existing credits paid back duly till now,radio/television,2600,<100,"3:[1,4 years)",4,male: single,none,4,unknown / no property,65,none,for free,2,skilled employee/official,1,no,yes,1
no,15,existing credits paid back duly till now,radio/television,1979,unknown/no savings account,5:7+ years,4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",35,none,own,1,skilled employee/official,1,no,yes,0
200+,6,existing credits paid back duly till now,furniture/equipment,2116,<100,"3:[1,4 years)",2,male: single,none,2,real estate,41,none,own,1,skilled employee/official,1,yes,yes,0
"[0,200)",9,all credits at this bank paid back duly,ar (new),1437,"[100,500)","4:[4,7 years)",2,male: single,none,3,unknown / no property,29,none,own,1,skilled employee/official,1,no,yes,1
no,42,critical account/other credits existing (not at this bank),furniture/equipment,4042,"[500,1000)","3:[1,4 years)",4,male: single,none,4,real estate,36,none,own,2,skilled employee/official,1,yes,yes,0
no,9,existing credits paid back duly till now,education,3832,unknown/no savings account,5:7+ years,1,male: single,none,4,real estate,64,none,own,1,unskilled - resident,1,no,yes,0
<0,24,existing credits paid back duly till now,radio/television,3660,<100,"3:[1,4 years)",2,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",28,none,own,1,skilled employee/official,1,no,yes,0
<0,18,all credits at this bank paid back duly,furniture/equipment,1553,<100,"3:[1,4 years)",4,male: single,none,3,"if not A121/A122 : car or other, not in attribute",44,bank,own,1,skilled employee/official,1,no,yes,1
"[0,200)",15,existing credits paid back duly till now,radio/television,1444,unknown/no savings account,2:<1 year,4,male: single,none,1,if not A121 : building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,no,yes,0
no,9,existing credits paid back duly till now,furniture/equipment,1980,<100,2:<1 year,2,female: divorced/separated/married,co-applicant,2,"if not A121/A122 : car or other, not in attribute",19,none,rent,2,skilled employee/official,1,no,yes,1
"[0,200)",24,existing credits paid back duly till now,ar (new),1355,<100,2:<1 year,3,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",25,none,own,1,unskilled - resident,1,yes,yes,1
no,12,existing credits paid back duly till now,education,1393,<100,5:7+ years,4,male: single,none,4,if not A121 : building society savings agreement/life insurance,47,bank,own,3,skilled employee/official,2,yes,yes,0
no,24,existing credits paid back duly till now,radio/television,1376,"[500,1000)","4:[4,7 years)",4,female: divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute",28,none,own,1,skilled employee/official,1,no,yes,0
no,60,delay in paying off in the past,radio/television,15653,<100,"4:[4,7 years)",2,male: single,none,4,"if not A121/A122 : car or other, not in attribute",21,none,own,2,skilled employee/official,1,yes,yes,0
no,12,existing credits paid back duly till now,radio/television,1493,<100,2:<1 year,4,female: divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute",34,none,own,1,skilled employee/official,2,no,yes,0
<0,42,delay in paying off in the past,radio/television,4370,<100,"4:[4,7 years)",3,male: single,none,2,if not A121 : building society savings agreement/life insurance,26,bank,own,2,skilled employee/official,2,yes,yes,1
<0,18,existing credits paid back duly till now,education,750,<100,1:unemployed,4,female: divorced/separated/married,none,1,real estate,27,none,own,1,unemployed/unskilled non-resident,1,no,yes,1
"[0,200)",15,existing credits paid back duly till now,repairs,1308,<100,5:7+ years,4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",38,none,own,2,unskilled - resident,1,no,yes,0
no,15,existing credits paid back duly till now,education,4623,"[100,500)","3:[1,4 years)",3,male: single,none,2,if not A121 : building society savings agreement/life insurance,40,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
no,24,critical account/other credits existing (not at this bank),radio/television,1851,<100,"4:[4,7 years)",4,male: married/widowed,guarantor,2,"if not A121/A122 : car or other, not in attribute",33,none,own,2,skilled employee/official,1,yes,yes,0
<0,18,critical account/other credits existing (not at this bank),radio/television,1880,<100,"4:[4,7 years)",4,male: married/widowed,none,1,if not A121 : building society savings agreement/life insurance,32,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
no,36,delay in paying off in the past,business,7980,unknown/no savings account,2:<1 year,4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",27,none,rent,2,skilled employee/official,1,yes,yes,1
<0,30,no credits taken/all credits paid back duly,furniture/equipment,4583,<100,"3:[1,4 years)",2,male: divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee/official,1,no,yes,0
no,12,existing credits paid back duly till now,ar (new),1386,"[500,1000)","3:[1,4 years)",2,female: divorced/separated/married,none,2,if not A121 : building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,no,yes,1
200+,24,existing credits paid back duly till now,ar (new),947,<100,"4:[4,7 years)",4,male: single,none,3,unknown / no property,38,bank,for free,1,skilled employee/official,2,no,yes,1
<0,12,existing credits paid back duly till now,education,684,<100,"3:[1,4 years)",4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",40,none,rent,1,unskilled - resident,2,no,yes,1
<0,48,existing credits paid back duly till now,education,7476,<100,"4:[4,7 years)",4,male: single,none,1,unknown / no property,50,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
"[0,200)",12,existing credits paid back duly till now,furniture/equipment,1922,<100,"3:[1,4 years)",4,male: single,none,2,if not A121 : building society savings agreement/life insurance,37,none,own,1,unskilled - resident,1,no,yes,1
<0,24,existing credits paid back duly till now,ar (new),2303,<100,5:7+ years,4,male: single,co-applicant,1,real estate,45,none,own,1,skilled employee/official,1,no,yes,1
"[0,200)",36,delay in paying off in the past,ar (new),8086,"[100,500)",5:7+ years,2,male: single,none,4,"if not A121/A122 : car or other, not in attribute",42,none,own,4,management/self-employed/highly qualified employee/officer,1,yes,yes,1
no,24,critical account/other credits existing (not at this bank),car (used),2346,<100,"4:[4,7 years)",4,male: single,none,3,"if not A121/A122 : car or other, not in attribute",35,none,own,2,skilled employee/official,1,yes,yes,0
<0,14,existing credits paid back duly till now,ar (new),3973,<100,1:unemployed,1,male: single,none,4,unknown / no property,22,none,for free,1,skilled employee/official,1,no,yes,0
"[0,200)",12,existing credits paid back duly till now,ar (new),888,<100,5:7+ years,4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",41,bank,own,1,unskilled - resident,2,no,yes,1
no,48,existing credits paid back duly till now,radio/television,10222,unknown/no savings account,"4:[4,7 years)",4,male: single,none,3,"if not A121/A122 : car or other, not in attribute",37,stores,own,1,skilled employee/official,1,yes,yes,0
"[0,200)",30,no credits taken/all credits paid back duly,business,4221,<100,"3:[1,4 years)",2,female: divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute",28,none,own,2,skilled employee/official,1,no,yes,0
"[0,200)",18,critical account/other credits existing (not at this bank),furniture/equipment,6361,<100,5:7+ years,2,male: single,none,1,unknown / no property,41,none,own,1,skilled employee/official,1,yes,yes,0
200+,12,existing credits paid back duly till now,radio/television,1297,<100,"3:[1,4 years)",3,male: married/widowed,none,4,real estate,23,none,rent,1,skilled employee/official,1,no,yes,0
<0,12,existing credits paid back duly till now,ar (new),900,unknown/no savings account,"3:[1,4 years)",4,male: married/widowed,none,2,"if not A121/A122 : car or other, not in attribute",23,none,own,1,skilled employee/official,1,no,yes,1
no,21,existing credits paid back duly till now,furniture/equipment,2241,<100,5:7+ years,4,male: single,none,2,real estate,50,none,own,2,skilled employee/official,1,no,yes,0
"[0,200)",6,delay in paying off in the past,furniture/equipment,1050,<100,1:unemployed,4,male: single,none,1,if not A121 : building society savings agreement/life insurance,35,stores,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
200+,6,critical account/other credits existing (not at this bank),education,1047,<100,"3:[1,4 years)",2,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,50,none,own,1,unskilled - resident,1,no,yes,0
no,24,critical account/other credits existing (not at this bank),others,6314,<100,1:unemployed,4,male: single,co-applicant,2,unknown / no property,27,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
"[0,200)",30,all credits at this bank paid back duly,furniture/equipment,3496,1000+,"3:[1,4 years)",4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",34,stores,own,1,skilled employee/official,2,yes,yes,0
